nome;concretezza;animatezza;verbi_sintetici;verbi_analitici;vsin_num;vsupp_num;vsin_bin;vsupp_bin
marzo;astratto;non_animato;;;0;0;no;no
aprile;astratto;non_animato;;;0;0;no;no
maggio;astratto;non_animato;;;0;0;no;no
giugno;astratto;non_animato;;;0;0;no;no
sabato;astratto;non_animato;;;0;0;no;no
domenica;astratto;non_animato;;;0;0;no;no
luglio;astratto;non_animato;;;0;0;no;no
agosto;astratto;non_animato;;;0;0;no;no
settembre;astratto;non_animato;;;0;0;no;no
ottobre;astratto;non_animato;;;0;0;no;no
novembre;astratto;non_animato;;;0;0;no;no
abito;concreto;non_animato;;;0;0;no;no
abitudine;astratto;non_animato;;essere di abitudine;0;1;no;yes
accordo;astratto;non_animato;;andare di accordo, essere di accordo, essere in accordo, fare un(/il) accordo, mettere di accordo, mettere in accordo;0;6;no;yes
acqua;concreto;non_animato;sciacquare;fare acqua, mettere in acqua;1;2;yes;yes
addio;astratto;non_animato;;dare un addio;0;1;no;yes
aeroplano;concreto;non_animato;;;0;0;no;no
affare;astratto;non_animato;;essere in affare, fare il affare, mettere in affare;0;3;no;yes
affetto;astratto;non_animato;;;0;0;no;no
agente;concreto;umano;;fare da agente;0;1;no;yes
agricoltura;astratto;non_animato;;fare agricoltura;0;1;no;yes
aiuto;astratto;non_animato;;andare in aiuto, dare (un) aiuto, essere di aiuto, essere di aiuto, venire in aiuto;0;5;no;yes
ala;concreto;non_animato;aleggiare;;1;0;yes;no
alba;concreto;non_animato;albeggiare;;1;0;yes;no
albergo;concreto;non_animato;albergare;;1;0;yes;no
albero;concreto;non_animato;alberare, inalberare;;2;0;yes;no
alleato;concreto;umano;;;0;0;no;no
allevamento;astratto;non_animato;;;0;0;no;no
alpino;astratto;non_animato;;;0;0;no;no
altezza;astratto;non_animato;;;0;0;no;no
amante;concreto;umano;;;0;0;no;no
ambiente;concreto;non_animato;ambientare;;1;0;yes;no
americano;concreto;non_animato;;fare il americano;0;1;no;yes
amica;concreto;non_animato;;;0;0;no;no
amicizia;astratto;non_animato;;essere in amicizia, fare amicizia;0;2;no;yes
amico;astratto;non_animato;;fare da amico, fare il amico;0;2;no;yes
amministrazione;astratto;non_animato;;essere sotto amministrazione;0;1;no;yes
amore;astratto;non_animato;amoreggiare, innamorare;dare amore, essere in amore;2;2;yes;yes
anello;concreto;non_animato;inanellare;fare da anello;1;1;yes;yes
angelo;concreto;umano;;fare da angelo;0;1;no;yes
angolo;concreto;non_animato;angolare;;1;0;yes;no
anima;astratto;non_animato;animare;dare anima;1;1;yes;yes
animale;concreto;animato;;;0;0;no;no
animo;astratto;non_animato;;avere in animo;0;1;no;yes
anno;astratto;non_animato;;;0;0;no;no
ansia;astratto;non_animato;;essere in ansia, mettere in ansia;0;2;no;yes
apparecchio;concreto;non_animato;;;0;0;no;no
appartamento;concreto;non_animato;;;0;0;no;no
appetito;astratto;non_animato;;;0;0;no;no
appuntamento;astratto;non_animato;;dare (un) appuntamento, prendere (un) appuntamento;0;2;no;yes
arabo;astratto;non_animato;;;0;0;no;no
arancia;concreto;non_animato;;;0;0;no;no
architetto;concreto;umano;architettare;;1;0;yes;no
arco;concreto;non_animato;inarcare;;1;0;yes;no
argomento;astratto;non_animato;argomentare;avere il argomento;1;1;yes;yes
aria;concreto;non_animato;arieggiare;dare aria, prendere aria;1;2;yes;yes
arma;concreto;non_animato;armare, armeggiare;mettere in arma;2;1;yes;yes
arte;astratto;non_animato;;fare arte;0;1;no;yes
articolo;astratto;non_animato;articolare;;1;0;yes;no
artista;concreto;umano;;essere artista, fare il artista;0;2;no;yes
aspetto;astratto;non_animato;;dare un aspetto;0;1;no;yes
assassino;concreto;umano;assassinare;;1;0;yes;no
atmosfera;astratto;non_animato;;;0;0;no;no
atteggiamento;astratto;non_animato;;avere un atteggiamento, essere in atteggiamento;0;2;no;yes
attenzione;astratto;non_animato;attenzionare;avere attenzione, dare attenzione, fare attenzione;1;3;yes;yes
attesa;astratto;non_animato;;essere in attesa, mettere in attesa;0;2;no;yes
attimo;astratto;non_animato;;;0;0;no;no
attività;astratto;non_animato;;essere in attività, fare attività, mettere in attività;0;3;no;yes
atto;astratto;non_animato;atteggiare;avere in atto, dare atto, mettere in atto, prendere atto;1;4;yes;yes
attore;concreto;umano;;essere attore, fare il attore;0;2;no;yes
automobile;concreto;non_animato;;;0;0;no;no
autorità;astratto;non_animato;;avere autorità, fare la autorità;0;2;no;yes
avvenimento;astratto;non_animato;;;0;0;no;no
avvenire;astratto;non_animato;;;0;0;no;no
avventura;astratto;non_animato;avventurare;;1;0;yes;no
avversario;astratto;non_animato;;fare il avversario;0;1;no;yes
avvocato;concreto;umano;;;0;0;no;no
azione;astratto;non_animato;azionare;andare in azione, mandare in azione, mettere in azione;1;3;yes;yes
babbo;concreto;umano;;;0;0;no;no
bacio;astratto;non_animato;baciare;dare un(/il) bacio;1;1;yes;yes
bagno;astratto;non_animato;bagnare;andare in bagno, fare il/un bagno, mettere a bagno;1;3;yes;yes
balcone;concreto;non_animato;;;0;0;no;no
ballo;astratto;non_animato;;avere in ballo, essere in ballo, fare un ballo, mettere in ballo;0;4;no;yes
bambina;astratto;non_animato;;fare la bambina;0;1;no;yes
bambino;concreto;umano;;fare il bambino;0;1;no;yes
